GuestID,PromoCode,Region,AllInclusive,PackageType,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned,SharedRoom,RoomFloor,RoomNumber,RoomSide
619623,NoPromoCode,Americas,0,Relaxation,0,0,0,0,0,0,6915,5,136,Website,Minor,Facebook,1,0,G,630,S
776250,NoPromoCode,Americas,1,Relaxation,0,0,0,0,0,0,8571,5,362,Corporate,Minor,Billboard,1,0,G,201,S
932709,NoPromoCode,Americas,0,Wellness,0,0,0,0,0,0,1142,4,154,TravelAgent,Middle,Facebook,0,0,G,1483,S
771839,PromoA,Europe,1,Adventure,0,0,0,0,0,0,9642,2,128,Website,Young,Magazine,1,0,D,164,S
755501,PromoA,Americas,0,Relaxation,0,0,0,60,1,5147,5528,4,35,Mobile,Minor,Google,0,0,G,818,P
213877,PromoB,Americas,0,Relaxation,0,0,217,0,77,510,48,5,2,Mobile,Young,TripAdvisor,0,0,F,1185,P
322883,NoPromoCode,AsiaPacific,0,Relaxation,0,0,0,0,0,0,4941,4,245,Website,Minor,Facebook,1,0,F,152,S
515689,NoPromoCode,Unknown,0,Adventure,0,161,641,0,2,0,2326,4,144,TravelAgent,Young,Facebook,1,0,E,179,P
121285,NoPromoCode,Europe,1,Adventure,0,0,0,0,0,0,2733,5,140,TravelAgent,Middle,Billboard,1,0,B,32,S
860704,PromoA,Americas,0,Wellness,0,631,0,0,40,0,3350,4,292,Corporate,Young,Email,0,0,F,545,S
763768,PromoA,AsiaPacific,0,Relaxation,0,0,0,0,0,0,1465,1,142,Mobile,Young,Google,0,0,E,252,P
935778,PromoA,Americas,0,Relaxation,0,16,1739,9,5,8,3416,1,322,Mobile,Young,Google,1,0,G,1436,S
478782,PromoA,Europe,0,Adventure,0,0,0,0,1528,382,869,4,219,Website,Middle,TV,0,0,C,69,P
358802,NoPromoCode,Europe,1,Adventure,0,0,0,0,0,0,5515,4,68,Corporate,Minor,TripAdvisor,1,0,B,75,S
605619,PromoB,Americas,0,Relaxation,0,0,61,805,0,216,2240,4,134,Mobile,Senior,Facebook,1,0,F,1535,P
415732,NoPromoCode,Americas,0,Relaxation,0,0,0,0,0,0,3727,2,256,Mobile,Minor,Google,1,0,F,1411,P
496404,PromoA,Europe,0,Relaxation,0,0,331,0,0,1687,1503,3,182,Website,Middle,TripAdvisor,0,0,B,5,P
623985,PromoA,Americas,0,Relaxation,0,0,0,62,0,891,292,3,325,Mobile,Middle,Yelp,0,0,F,1537,S
179550,PromoA,AsiaPacific,0,Relaxation,0,1227,42,1,0,0,7203,2,279,Mobile,Unknown,Google,0,0,F,151,S
577971,PromoA,AsiaPacific,0,Adventure,0,803,0,384,120,0,1132,1,26,TravelAgent,Middle,Facebook,1,0,F,538,S
394331,NoPromoCode,AsiaPacific,0,Relaxation,0,0,0,0,0,0,4600,2,124,Website,Minor,Google,1,0,F,151,S
759758,NoPromoCode,Americas,0,Wellness,0,0,0,0,0,0,365,5,340,Phone,Minor,TikTok,1,0,G,221,S
302546,NoPromoCode,Americas,0,Relaxation,0,0,442,0,0,368,1449,3,54,Corporate,Young,Facebook,1,0,F,269,S
330113,PromoA,Europe,1,Adventure,0,0,0,0,0,0,5751,3,357,Phone,Young,Google,1,0,B,101,P
686348,PromoA,Americas,0,Relaxation,0,0,1049,1,0,0,3667,5,339,Mobile,Young,Friend,0,0,F,1301,P
360794,PromoA,Americas,0,Wellness,0,14,33,0,3,467,2090,5,240,Corporate,Young,Instagram,0,0,G,118,S
193687,PromoA,Americas,1,Wellness,0,0,0,0,0,0,6763,1,95,Corporate,Minor,TV,1,0,G,975,P
710958,NoPromoCode,AsiaPacific,0,Relaxation,0,2309,0,1142,1,10,8090,3,162,Mobile,Minor,TripAdvisor,0,0,D,176,S
105734,NoPromoCode,AsiaPacific,1,Relaxation,0,0,0,0,0,0,7777,4,67,Phone,Young,Google,1,0,F,799,P
180275,PromoA,Europe,0,Adventure,0,0,12563,0,3,5057,4489,3,298,TravelAgent,Young,Instagram,0,0,B,297,P
496723,NoPromoCode,Americas,0,Relaxation,0,0,0,204,559,3,3781,2,264,Corporate,Middle,Google,0,0,G,1457,S
980992,PromoB,Americas,1,Wellness,0,0,0,0,0,0,6463,5,138,Phone,Young,TV,1,0,G,1438,S
431294,NoPromoCode,Europe,1,Relaxation,0,0,0,0,0,0,685,5,345,Corporate,Young,Friend,1,0,Unknown,0,Unknown
797853,NoPromoCode,Americas,0,Wellness,0,10,24,0,0,565,7226,4,99,Corporate,Young,TripAdvisor,0,0,F,1444,S
270911,PromoA,Europe,0,Relaxation,0,0,3,0,1271,2630,1979,2,262,Phone,Young,TikTok,1,0,C,187,S
841122,NoPromoCode,AsiaPacific,1,NoPackage,0,0,0,0,0,0,3506,3,305,TravelAgent,Middle,TripAdvisor,1,0,E,311,S
345243,NoPromoCode,Americas,0,Relaxation,0,22,0,681,0,1,3357,1,98,Corporate,Minor,Facebook,1,0,G,1334,P
498988,NoPromoCode,Unknown,0,Relaxation,0,0,0,17,0,793,9884,5,112,TravelAgent,Young,Google,0,0,G,430,P
390853,NoPromoCode,Americas,0,Relaxation,0,0,0,699,18,86,4054,3,286,Phone,Young,Friend,1,0,F,917,S
956795,NoPromoCode,Americas,1,Relaxation,0,0,0,0,0,0,9228,3,11,TravelAgent,Young,TV,1,0,G,1086,S
298373,NoPromoCode,Americas,0,Relaxation,0,0,561,10,0,161,5230,2,198,Phone,Young,Google,1,0,F,156,S
191070,PromoB,Europe,1,Relaxation,0,0,0,0,0,0,9222,2,174,Phone,Middle,Google,1,0,C,147,S
359178,PromoB,AsiaPacific,0,Relaxation,0,886,55,0,0,235,4169,3,285,Corporate,Young,Yelp,0,0,F,819,P
749654,NoPromoCode,Europe,0,Relaxation,1,530,5085,1,146,872,5120,2,56,Corporate,Middle,TripAdvisor,1,0,C,22,S
861716,NoPromoCode,Americas,0,Relaxation,0,9,769,9,0,0,8059,5,300,Website,Young,Instagram,0,0,E,508,S
688858,PromoB,Europe,0,Relaxation,0,2,1297,0,4,0,3388,4,282,Mobile,Middle,TikTok,1,0,A,32,S
419330,PromoB,Americas,0,Relaxation,0,711,0,0,59,57,7974,2,167,TravelAgent,Young,Instagram,0,0,F,282,P
232166,NoPromoCode,AsiaPacific,1,Adventure,0,0,0,0,0,0,6577,5,37,Mobile,Minor,TikTok,1,0,D,107,S
284654,PromoA,AsiaPacific,1,Relaxation,0,0,0,0,0,0,7835,3,81,TravelAgent,Young,TV,0,0,E,281,P
321268,NoPromoCode,Americas,1,Relaxation,0,0,0,0,0,0,3704,4,218,Website,Middle,Facebook,1,0,G,1177,S
215430,PromoB,Americas,1,Relaxation,0,0,0,0,0,0,7037,5,130,TravelAgent,Senior,Friend,0,0,G,92,S
861937,PromoA,AsiaPacific,0,Relaxation,1,20,0,1902,481,3,4673,3,302,Mobile,Young,Yelp,1,0,F,911,S
794919,NoPromoCode,Europe,1,Adventure,0,0,0,0,0,0,6219,3,139,Corporate,Middle,Instagram,1,0,E,590,P
240305,NoPromoCode,Americas,0,Adventure,0,0,0,717,1,0,337,4,96,Corporate,Young,Instagram,1,0,E,579,S
945188,PromoA,Americas,0,Adventure,0,0,151,603,1,0,1403,2,219,TravelAgent,Minor,Instagram,1,0,G,755,S
541811,PromoB,Americas,1,Relaxation,0,0,0,0,0,0,4983,3,57,TravelAgent,Middle,Google,1,0,G,641,S
