group,actual,predicted,p_churn,confidence,GuestID,PromoCode,Region,AllInclusive,PackageType,Age,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned,BookingYear,BookingMonth,BookingDayOfWeek,BookingIsWeekend,DaysSinceFirstBooking,RoomBuilding,RoomNumber,RoomSection,AgeKnown,RoomService_log,Dining_log,Retail_log,Spa_log,Entertainment_log,TotalSpend,TotalSpend_log,SpendCategories,PromoCode_missing,Region_missing,AllInclusive_missing
correct,0,0,0.2898854291956301,0.7101145708043699,719950,,Americas,0.0,Wellness,73.0,0.0,1806,0,47,0,0,7236,2,200,Website,Elderly,Billboard,0,2024,1,1,0,366,G,1452.0,P,1,7.499423290592229,0.0,3.871201010907891,0.0,0.0,1853,7.5251007461258,2,1,0,0
correct,1,1,0.976077201792877,0.976077201792877,693862,,Europe,1.0,Adventure,17.0,0.0,0,0,0,0,0,5972,5,310,Website,Minor,Google,1,2024,12,1,0,702,C,225.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.8332919399750175,0.8332919399750175,137101,PromoB,Americas,0.0,Adventure,24.0,,0,30,835,0,0,2103,4,242,Corporate,Young,Google,1,2024,8,5,1,594,E,369.0,P,1,0.0,3.4339872044851463,6.728628613084702,0.0,0.0,865,6.763884908562435,2,0,0,0
correct,0,0,0.012355643400606173,0.9876443565993939,440588,PromoA,Americas,0.0,Wellness,23.0,0.0,8,173,0,1052,0,4819,1,206,TravelAgent,Young,Friend,0,2024,7,3,0,557,F,1410.0,P,1,2.1972245773362196,5.159055299214529,0.0,6.959398512133975,0.0,1233,7.1180162044653335,3,0,0,0
correct,0,0,0.10871162214648299,0.891288377853517,251872,,Americas,0.0,Relaxation,24.0,0.0,56,22,285,1453,0,3978,3,260,Website,Young,Google,0,2024,1,0,0,386,G,902.0,P,1,4.04305126783455,3.1354942159291497,5.655991810819852,7.282073658093465,0.0,1816,7.504942068396171,4,1,0,0
correct,0,0,0.24800286944228925,0.7519971305577108,704266,PromoA,Europe,0.0,Adventure,,0.0,0,2113,0,1972,51,1918,1,289,Phone,Elderly,Facebook,0,2023,6,3,0,158,A,95.0,P,0,0.0,7.656337166430183,0.0,7.587310506022615,3.9512437185814275,4136,8.327726166461412,3,0,0,0
correct,1,1,0.8472097159189108,0.8472097159189108,615422,,Americas,0.0,Relaxation,25.0,0.0,0,0,1037,8,1,8367,2,163,Mobile,Young,Newspaper,1,2024,7,0,0,554,F,1100.0,S,1,0.0,0.0,6.945051063725834,2.1972245773362196,0.6931471805599453,1046,6.953684210870537,3,1,0,0
correct,0,0,0.06357395632054559,0.9364260436794544,961113,,Americas,0.0,Adventure,28.0,0.0,0,0,0,711,0,5194,4,145,Mobile,Young,TripAdvisor,0,2023,7,0,0,204,G,920.0,P,1,0.0,0.0,0.0,6.568077911411976,0.0,711,6.568077911411976,1,1,0,0
correct,0,0,0.39448411823187557,0.6055158817681244,645620,PromoA,AsiaPacific,1.0,Relaxation,37.0,0.0,0,0,0,0,0,8716,4,274,Mobile,Middle,Google,0,2023,10,3,0,284,E,553.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.5280477227263518,0.5280477227263518,974355,PromoA,Americas,1.0,Adventure,,0.0,0,0,0,0,0,6014,2,89,Mobile,Young,Friend,1,2023,2,5,1,55,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.9399942139597713,0.9399942139597713,211454,PromoA,Europe,1.0,Relaxation,35.0,0.0,0,0,0,0,0,8594,5,23,Corporate,Middle,Facebook,1,2024,6,0,0,519,D,223.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.9009557761869023,0.9009557761869023,924873,,Americas,1.0,Relaxation,,0.0,0,0,0,0,0,8340,1,281,Corporate,,Pinterest,1,2024,8,6,1,581,G,1242.0,S,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.9871932451249955,0.9871932451249955,264169,PromoB,Europe,1.0,Adventure,45.0,0.0,0,0,0,0,0,8223,3,183,Website,Middle,Instagram,1,2023,7,5,1,188,,,,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.037563770915701525,0.9624362290842985,587780,PromoA,Americas,0.0,Adventure,16.0,0.0,797,0,0,0,0,1802,1,239,Website,Minor,TripAdvisor,0,2024,1,0,0,386,F,166.0,P,1,6.682108597449809,0.0,0.0,0.0,0.0,797,6.682108597449809,1,0,0,0
correct,1,1,0.6300271576116893,0.6300271576116893,868222,PromoB,Americas,1.0,Adventure,27.0,0.0,0,0,0,0,0,250,2,279,TravelAgent,Young,Facebook,1,2023,5,1,0,135,G,1427.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.8261619695347795,0.8261619695347795,237349,PromoA,Americas,0.0,Adventure,3.0,0.0,0,0,0,0,0,5333,4,96,Phone,Minor,Google,1,2024,11,5,1,692,G,765.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.9593836779499346,0.9593836779499346,977634,,Americas,1.0,Adventure,29.0,0.0,0,0,0,0,0,8666,5,126,TravelAgent,Young,Google,1,2024,2,5,1,419,G,1194.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.9826765035741548,0.9826765035741548,647852,,AsiaPacific,1.0,Adventure,40.0,0.0,0,0,0,0,0,5963,1,278,TravelAgent,Middle,Billboard,1,2024,5,3,0,487,D,102.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.6485722344570022,0.6485722344570022,107005,,Americas,1.0,Relaxation,41.0,0.0,0,0,0,0,0,6388,5,83,Corporate,Middle,Friend,1,2024,2,6,1,413,,,,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
