GuestID,AllInclusive,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,Churned,SharedRoom,PromoCodeUsed,DaysSinceEmail_Decile
619623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6915,5,136,1,0,0,3
776250,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8571,5,362,1,0,0,9
932709,,0.0,0.0,336519.8436426200,0.0,0.0,0.0,1142,4,154,0,0,0,4
771839,1.0,0.0,0.0,0.0,0.0,,0.0,9642,2,128,1,0,1,3
755501,0.0,0.0,0.0,0.0,60.0,1.0,5147.0,5528,4,35,0,0,1,0
213877,0.0,0.0,0.0,217.0,0.0,77.0,510.0,48,5,2,0,0,2,0
322883,0.0,0.0,0.0,0.0,0.0,158434.31868556100,0.0,4941,4,245,1,0,0,6
515689,0.0,0.0,166183.90990804200,641.0,0.0,2.0,0.0,2326,4,144,1,0,0,3
121285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2733,5,140,1,0,0,3
860704,0.0,0.0,631.0,,0.0,40.0,0.0,3350,4,292,0,0,1,7
763768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465,1,142,0,0,1,3
935778,0.0,0.0,16.0,1739.0,9.0,5.0,8.0,3416,1,322,1,0,1,8
478782,0.0,0.0,0.0,,0.0,1528.0,450954.40163996900,869,4,219,0,0,1,5
358802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5515,4,68,1,0,0,1
605619,0.0,0.0,0.0,61.0,805.0,0.0,430882.10219581000,2240,4,134,1,0,2,3
415732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3727,2,256,1,0,0,7
496404,,0.0,0.0,331.0,0.0,0.0,1687.0,1503,3,182,0,0,1,4
623985,0.0,0.0,,0.0,62.0,0.0,891.0,292,3,325,0,0,1,8
179550,0.0,0.0,1227.0,42.0,1.0,0.0,0.0,7203,2,279,0,0,1,7
577971,0.0,0.0,803.0,0.0,384.0,120.0,0.0,1132,1,26,1,0,1,0
394331,0.0,0.0,0.0,0.0,0.0,0.0,,4600,2,124,1,0,0,3
759758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365,5,340,1,0,0,9
302546,0.0,0.0,0.0,442.0,0.0,0.0,368.0,1449,3,54,1,0,0,1
330113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5751,3,357,1,0,1,9
686348,0.0,0.0,0.0,1049.0,1.0,0.0,0.0,3667,5,339,0,0,1,9
360794,0.0,0.0,14.0,33.0,0.0,3.0,467.0,2090,5,240,0,0,1,6
193687,1.0,0.0,0.0,,0.0,0.0,0.0,6763,1,95,1,0,1,2
710958,0.0,0.0,2309.0,0.0,1142.0,1.0,10.0,8090,3,162,0,0,0,4
105734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7777,4,67,1,0,0,1
180275,0.0,0.0,0.0,12563.0,0.0,3.0,5057.0,4489,3,298,0,0,1,8
496723,0.0,0.0,0.0,,204.0,559.0,3.0,3781,2,264,0,0,0,7
980992,1.0,0.0,,0.0,0.0,0.0,0.0,6463,5,138,1,0,2,3
431294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,685,5,345,1,0,0,9
797853,0.0,0.0,10.0,24.0,0.0,0.0,565.0,7226,4,99,0,0,0,2
270911,0.0,0.0,0.0,3.0,0.0,1271.0,2630.0,1979,2,262,1,0,1,7
841122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3506,3,305,1,0,0,8
345243,0.0,0.0,22.0,0.0,681.0,0.0,1.0,3357,1,98,1,0,0,2
498988,0.0,0.0,0.0,0.0,17.0,0.0,793.0,9884,5,112,0,0,0,3
390853,0.0,0.0,0.0,0.0,699.0,18.0,86.0,4054,3,286,1,0,0,7
956795,1.0,0.0,0.0,0.0,,0.0,0.0,9228,3,11,1,0,0,0
298373,0.0,0.0,0.0,561.0,10.0,0.0,161.0,5230,2,198,1,0,0,5
191070,1.0,0.0,0.0,0.0,0.0,,0.0,9222,2,174,1,0,2,4
359178,0.0,0.0,886.0,55.0,0.0,0.0,258445.02160175000,4169,3,285,0,0,2,7
749654,0.0,1.0,530.0,5085.0,1.0,146.0,872.0,5120,2,56,1,0,0,1
861716,0.0,0.0,9.0,769.0,9.0,0.0,0.0,8059,5,300,0,0,0,8
688858,0.0,0.0,2.0,1297.0,0.0,4.0,0.0,3388,4,282,1,0,2,7
419330,0.0,0.0,711.0,0.0,0.0,59.0,57.0,7974,2,167,0,0,2,4
232166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6577,5,37,1,0,0,0
284654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7835,3,81,0,0,1,2
321268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3704,4,218,1,0,0,5
215430,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7037,5,130,0,0,2,3
861937,0.0,1.0,20.0,,1902.0,343837.9818004390,3.0,4673,3,302,1,0,1,8
794919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6219,3,139,1,0,0,3
240305,0.0,0.0,0.0,0.0,717.0,1.0,0.0,337,4,96,1,0,0,2
945188,0.0,0.0,0.0,524195.1211533570,603.0,1.0,0.0,1403,2,219,1,0,1,5
541811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4983,3,57,1,0,2,1
515798,1.0,0.0,,0.0,0.0,0.0,0.0,7275,1,166,1,0,1,4
420919,0.0,0.0,18.0,10.0,73.0,0.0,1049.0,5337,1,230,0,0,0,6
122446,0.0,0.0,246.0,0.0,376267.54206263900,0.0,0.0,2164,1,70,1,0,0,1
192433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1140,1,68,1,0,1,1
493732,0.0,0.0,213.0,0.0,,0.0,584.0,322,3,122,0,0,1,3
745035,0.0,0.0,319.0,0.0,6331.0,8.0,0.0,8791,4,229,1,0,1,6
392916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5604,4,59,1,0,2,1
736419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4954,2,332,0,0,1,9
663345,0.0,0.0,213954.38661007400,458.0,725.0,0.0,0.0,9839,2,282,1,0,0,7
635775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1195,2,275,1,1,0,7
213322,0.0,1.0,0.0,102.0,0.0,278.0,5353.0,5135,2,265,0,0,0,7
768594,0.0,0.0,604.0,,255327.7661616010,147.0,2.0,9723,5,288,0,0,1,7
240905,0.0,0.0,489.0,126.0,663.0,214.0,0.0,6137,1,289,0,0,0,7
443275,0.0,0.0,0.0,837.0,1.0,2.0,8.0,4906,2,274,0,0,1,7
149923,0.0,0.0,1737.0,0.0,336.0,0.0,0.0,518,4,156,0,0,1,4
255439,1.0,0.0,0.0,0.0,0.0,0.0,,6051,3,87,1,0,0,2
900740,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3066,3,312,0,0,1,8
280538,1.0,0.0,0.0,0.0,0.0,0.0,209884.11677944900,2837,2,64,1,1,0,1
318587,1.0,0.0,0.0,0.0,0.0,0.0,,6487,1,179,1,0,0,4
447709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2927,2,270,1,0,0,7
526663,0.0,0.0,457.0,0.0,0.0,0.0,445.0,3505,3,351,0,0,2,9
681834,0.0,0.0,10.0,199.0,0.0,6216.0,101.0,3674,3,153,0,0,0,4
353025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7616,5,40,1,0,0,1
825676,0.0,0.0,165.0,0.0,981.0,2.0,0.0,7164,3,228,1,0,0,6
178609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,531,1,305,1,0,2,8
954335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6711,1,145,1,0,1,3
157294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81,2,114,1,0,0,3
369427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5195,5,196,1,0,0,5
486869,0.0,0.0,0.0,3991.0,298.0,289.0,2740.0,1064,1,322,0,0,2,8
243771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7247,3,279,1,0,2,7
881564,0.0,0.0,,741.0,13.0,0.0,4724.0,9832,1,121,0,0,2,3
138557,0.0,0.0,0.0,3004.0,0.0,1018.0,0.0,3052,4,29,0,0,2,0
415738,0.0,0.0,,0.0,1356.0,0.0,171.0,9596,1,317,0,0,2,8
646555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8188,3,104,1,0,0,2
582352,0.0,0.0,0.0,0.0,0.0,888.0,0.0,6681,2,134,0,0,0,3
393844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9414,5,60,1,0,2,1
808617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1425,3,248,1,0,2,6
255304,0.0,0.0,8.0,0.0,236.0,0.0,2049.0,3512,2,151,0,0,1,4
155444,0.0,0.0,0.0,201.0,0.0,0.0,603.0,5046,4,139,0,0,2,3
590310,0.0,1.0,,0.0,1355.0,0.0,0.0,67,4,165,0,0,2,4
395626,0.0,0.0,636.0,0.0,168.0,1795.0,0.0,2333,1,284,0,0,1,7
548351,0.0,0.0,737.0,4.0,27.0,8.0,0.0,6286,4,279,0,0,1,7
429341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5703,4,303,1,0,0,8
509462,0.0,0.0,749.0,0.0,74.0,0.0,0.0,4720,1,340,0,0,1,9
402698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9290,5,247,0,0,0,6
331590,0.0,0.0,20.0,0.0,1000.0,36.0,0.0,6897,3,242,1,0,0,6
